"PERIOD_REF";"REGION";"INDICATORS";"UNIT_MES";VALUE;"STATUS"
"2019";"CZE";"Ind_04_11";"UM_2";5.7;"A"
"2019";"CZE";"Ind_04_12";"UM_19";16;"A"
"2018";"CZE";"Ind_04_13";"UM_19";12;"A"
"2019";"CZE";"Ind_05_03";"UM_2";76.7;"A"
"2019";"CZE";"Ind_05_04";"UM_2";69.8;"A"
"2019";"CZE";"Ind_05_05";"UM_2";83.4;"A"
"2019";"CZE";"Ind_05_06";"UM_2";2;"A"
"2019";"CZE";"Ind_05_07";"UM_2";2.4;"A"
"2019";"CZE";"Ind_05_08";"UM_2";1.7;"A"
"2019";"CZE";"Ind_05_09";"UM_2";5.6;"A"
"2019";"CZE";"Ind_05_10";"UM_2";30;"A"
"2019";"CZE";"Ind_06_11";"UM_17";29500;"A"
"2019";"CZE";"Ind_06_12";"UM_2";2.72;"A"
"2019";"CZE";"Ind_16_01";"UM_2";2.6;"A"
"2018";"CZE";"Ind_17_01";"UM_20";4.1;"A"
"2018";"CZE";"Ind_17_02";"UM_2";22.6;"A"
"2018";"CZE";"Ind_17_03";"UM_2";10.5;"A"
"2018";"CZE";"Ind_17_04";"UM_2";17.2;"A"
"2019";"CZE";"Ind_09_03";"UM_22";30.96129096;"A"
"2019";"CZE";"Ind_09_04";"UM_23";3.959345168;"A"
"2018";"CZE";"Ind_10_04";"UM_24";540;"A"
"2018";"CZE";"Ind_10_05";"UM_25";62;"A"
"2018";"CZE";"Ind_10_06";"UM_26";1252;"A"
"2018";"CZE";"Ind_10_07";"UM_26";15488;"A"
"2018";"CZE";"Ind_11_02";"UM_2";18.5;"A"
"2018";"CZE";"Ind_12_02";"UM_21";661.82;"A"
"2018";"CZE";"Ind_12_05";"UM_2";6.349;"A"
"2018";"CZE";"Ind_12_06";"UM_4";2.5605949;"A"
"2019";"CZE";"Ind_13_05";"UM_2";28.9;"A"
"2019";"CZE";"Ind_13_06";"UM_2";24.2;"A"
"2017";"CZE";"Ind_13_07";"UM_2";3.77;"A"
"2018";"CZE";"Ind_13_08";"UM_2";1.9;"A"
"2019";"CZE";"Ind_18_01";"UM_2";3.5;"A"
"2019";"CZE";"Ind_18_02";"UM_2";7;"A"
"2018";"CZE";"Ind_18_03";"UM_17";13264;"A"
"2019";"CZE";"Ind_18_04";"UM_2";20.2;"A"
"2018";"CZE";"Ind_19_01";"UM_2";20.1;"A"
"2018";"CZE";"Ind_19_02";"UM_2";57.1;"A"
"2020";"CZE";"Ind_19_03";"UM_2";22.5;"A"
"2019";"DNK";"Ind_01_01";"UM_1";5806.081;"A"
"2018";"DNK";"Ind_01_03";"UM_3";138;"A"
"2019";"DNK";"Ind_01_04";"UM_2";22.51932561;"A"
"2019";"DNK";"Ind_01_06";"UM_2";19.65102341;"A"
"2019";"DNK";"Ind_01_13";"UM_2";9.095860887;"A"
"2018";"DNK";"Ind_01_14";"UM_4";10.58820916;"A"
"2018";"DNK";"Ind_01_15";"UM_2";54.22603943;"A"
"2018";"DNK";"Ind_01_16";"UM_18";82.9;"A"
"2018";"DNK";"Ind_01_17";"UM_18";79.1;"A"
"2009";"DNK";"Ind_04_01";"UM_7";43098;"A"
"2009";"DNK";"Ind_04_08";"UM_2";6.448095039;"A"
"2009";"DNK";"Ind_04_09";"UM_2";65.74551023;"A"
"2009";"DNK";"Ind_04_10";"UM_2";16.62258109;"A"
"2019";"DNK";"Ind_04_11";"UM_2";7;"A"
"2019";"DNK";"Ind_04_12";"UM_19";24.2;"A"
"2018";"DNK";"Ind_04_13";"UM_19";8.3;"A"
"2019";"DNK";"Ind_05_03";"UM_2";79.1;"A"
"2019";"DNK";"Ind_05_04";"UM_2";76.1;"A"
"2019";"DNK";"Ind_05_05";"UM_2";82;"A"
"2019";"DNK";"Ind_05_06";"UM_2";5;"A"
"2019";"DNK";"Ind_05_07";"UM_2";5.3;"A"
"2019";"DNK";"Ind_05_08";"UM_2";4.8;"A"
"2019";"DNK";"Ind_05_09";"UM_2";10.1;"A"
"2019";"DNK";"Ind_05_10";"UM_2";16.4;"A"
"2019";"DNK";"Ind_06_11";"UM_17";41400;"A"
"2019";"DNK";"Ind_06_12";"UM_2";1.01;"A"
"2019";"DNK";"Ind_16_01";"UM_2";0.7;"A"
"2018";"DNK";"Ind_17_01";"UM_20";3.1;"A"
"2018";"DNK";"Ind_17_02";"UM_2";39.6;"A"
"2018";"DNK";"Ind_17_03";"UM_2";32.7;"A"
"2018";"DNK";"Ind_17_04";"UM_2";0;"A"
"2019";"DNK";"Ind_09_03";"UM_22";18.11080418;"A"
"2019";"DNK";"Ind_09_04";"UM_23";2.952267267;"A"
"2018";"DNK";"Ind_10_04";"UM_24";447;"A"
"2018";"DNK";"Ind_10_05";"UM_25";30;"A"
"2018";"DNK";"Ind_10_06";"UM_26";1329;"A"
"2018";"DNK";"Ind_10_07";"UM_26";;"O"
"2018";"DNK";"Ind_11_02";"UM_2";31.4;"A"
"2018";"DNK";"Ind_12_02";"UM_21";242.97;"A"
"2018";"DNK";"Ind_12_05";"UM_2";8.476;"A"
"2018";"DNK";"Ind_12_06";"UM_4";3.676231375;"A"
"2019";"DNK";"Ind_13_05";"UM_2";37.9;"A"
"2019";"DNK";"Ind_13_06";"UM_2";40;"A"
"2017";"DNK";"Ind_13_07";"UM_2";7.33;"A"
"2018";"DNK";"Ind_13_08";"UM_2";3.02;"A"
"2019";"DNK";"Ind_18_01";"UM_2";6.3;"A"
"2019";"DNK";"Ind_18_02";"UM_2";6.1;"A"
"2018";"DNK";"Ind_18_03";"UM_17";21646;"A"
"2019";"DNK";"Ind_18_04";"UM_2";27.1;"A"
"2018";"DNK";"Ind_19_01";"UM_2";14.6;"A"
"2018";"DNK";"Ind_19_02";"UM_2";56.5;"A"
"2020";"DNK";"Ind_19_03";"UM_2";39.66;"A"
"2019";"DEU";"Ind_01_01";"UM_1";83019.213;"A"
"2018";"DEU";"Ind_01_03";"UM_3";234.7;"A"
"2019";"DEU";"Ind_01_04";"UM_2";18.47307368;"A"
"2019";"DEU";"Ind_01_06";"UM_2";21.60046403;"A"
"2019";"DEU";"Ind_01_13";"UM_2";12.18626102;"A"
"2018";"DEU";"Ind_01_14";"UM_4";9.48603307;"A"
"2018";"DEU";"Ind_01_15";"UM_2";33.89056574;"A"
"2018";"DEU";"Ind_01_16";"UM_18";83.3;"A"
"2018";"DEU";"Ind_01_17";"UM_18";78.6;"A"
"2009";"DEU";"Ind_04_01";"UM_7";357108;"A"
"2009";"DEU";"Ind_04_08";"UM_2";6.852828836;"A"
"2009";"DEU";"Ind_04_09";"UM_2";52.19709444;"A"
"2009";"DEU";"Ind_04_10";"UM_2";32.33643604;"A"
"2019";"DEU";"Ind_04_11";"UM_2";4.3;"A"
"2019";"DEU";"Ind_04_12";"UM_19";14.8;"A"
"2018";"DEU";"Ind_04_13";"UM_19";10.3;"A"
"2019";"DEU";"Ind_05_03";"UM_2";79.2;"A"
"2019";"DEU";"Ind_05_04";"UM_2";74.9;"A"
"2019";"DEU";"Ind_05_05";"UM_2";83.5;"A"
"2019";"DEU";"Ind_05_06";"UM_2";3.1;"A"
"2019";"DEU";"Ind_05_07";"UM_2";2.7;"A"
"2019";"DEU";"Ind_05_08";"UM_2";3.5;"A"
"2019";"DEU";"Ind_05_09";"UM_2";5.8;"A"
"2019";"DEU";"Ind_05_10";"UM_2";37.8;"A"
"2019";"DEU";"Ind_06_11";"UM_17";38300;"A"
"2019";"DEU";"Ind_06_12";"UM_2";1.24;"A"
"2019";"DEU";"Ind_16_01";"UM_2";1.4;"A"
"2018";"DEU";"Ind_17_01";"UM_20";3.8;"A"
"2018";"DEU";"Ind_17_02";"UM_2";34.6;"A"
"2018";"DEU";"Ind_17_03";"UM_2";13.7;"A"
"2018";"DEU";"Ind_17_04";"UM_2";6.3;"A"
"2019";"DEU";"Ind_09_03";"UM_22";22.8199221;"A"
"2019";"DEU";"Ind_09_04";"UM_23";3.706247006;"A"
"2018";"DEU";"Ind_10_04";"UM_24";560;"A"
"2018";"DEU";"Ind_10_05";"UM_25";40;"A"
"2018";"DEU";"Ind_10_06";"UM_26";13141;"A"
"2018";"DEU";"Ind_10_07";"UM_26";;"O"
"2018";"DEU";"Ind_11_02";"UM_2";29.6;"A"
"2018";"DEU";"Ind_12_02";"UM_21";;"O"
"2018";"DEU";"Ind_12_05";"UM_2";9.7;"A"
"2018";"DEU";"Ind_12_06";"UM_4";3.18085948;"A"
"2019";"DEU";"Ind_13_05";"UM_2";35.2;"A"
"2019";"DEU";"Ind_13_06";"UM_2";29.9;"A"
"2017";"DEU";"Ind_13_07";"UM_2";4.53;"A"
"2018";"DEU";"Ind_13_08";"UM_2";3.12;"A"
"2019";"DEU";"Ind_18_01";"UM_2";7.9;"A"
"2019";"DEU";"Ind_18_02";"UM_2";6.8;"A"
"2018";"DEU";"Ind_18_03";"UM_17";21980;"A"
"2019";"DEU";"Ind_18_04";"UM_2";25.9;"A"
"2018";"DEU";"Ind_19_01";"UM_2";20.1;"A"
"2018";"DEU";"Ind_19_02";"UM_2";48.8;"A"
"2020";"DEU";"Ind_19_03";"UM_2";31.17;"A"
"2019";"EST";"Ind_01_01";"UM_1";1324.82;"A"
"2018";"EST";"Ind_01_03";"UM_3";30.4;"A"
"2019";"EST";"Ind_01_04";"UM_2";21.12372293;"A"
"2019";"EST";"Ind_01_06";"UM_2";19.85000754;"A"
"2019";"EST";"Ind_01_13";"UM_2";15.09764368;"A"
"2018";"EST";"Ind_01_14";"UM_4";10.84449208;"A"
"2018";"EST";"Ind_01_15";"UM_2";54.08923227;"A"
"2018";"EST";"Ind_01_16";"UM_18";82.7;"A"
"2018";"EST";"Ind_01_17";"UM_18";74;"A"
"2009";"EST";"Ind_04_01";"UM_7";45227;"A"
"2009";"EST";"Ind_04_08";"UM_2";1.799809848;"A"
"2009";"EST";"Ind_04_09";"UM_2";27.96780684;"A"
"2009";"EST";"Ind_04_10";"UM_2";52.63448825;"A"
"2019";"EST";"Ind_04_11";"UM_2";9.5;"A"
"2019";"EST";"Ind_04_12";"UM_19";30.3;"A"
"2018";"EST";"Ind_04_13";"UM_19";15.1;"A"
"2019";"EST";"Ind_05_03";"UM_2";78.9;"A"
"2019";"EST";"Ind_05_04";"UM_2";75.8;"A"
"2019";"EST";"Ind_05_05";"UM_2";82.1;"A"
"2019";"EST";"Ind_05_06";"UM_2";4.4;"A"
"2019";"EST";"Ind_05_07";"UM_2";4.8;"A"
"2019";"EST";"Ind_05_08";"UM_2";4.1;"A"
"2019";"EST";"Ind_05_09";"UM_2";11.1;"A"
"2019";"EST";"Ind_05_10";"UM_2";20;"A"
"2019";"EST";"Ind_06_11";"UM_17";26700;"A"
