"PERIOD_REF";"PERIOD_COMP";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS";"STATUS_1"
"2019";;"LU";"Ind_02_05";"UM_2";4.587705884;"A";
"2019";;"LU";"Ind_03_01";"UM_2";58.80129005;"A";
"2019";;"LU";"Ind_03_02";"UM_2";9.378919945;"A";
"2019";;"LU";"Ind_03_03";"UM_2";20.88707343;"A";
"2004/2009";;"LU";"Ind_04_01";"UM_7";1493.28;"A";
"2004/2009";;"LU";"Ind_04_02";"UM_2";9.633826208;"A";
"1979/1985";"2004/2009";"LU";"Ind_04_03";"UM_2";31.71870708;"A";
"2004/2009";;"LU";"Ind_04_04";"UM_2";53.44945355;"A";
"1979/1985";"2004/2009";"LU";"Ind_04_05";"UM_2";-3.962897463;"A";
"2004/2009";;"LU";"Ind_04_06";"UM_2";29.93209579;"A";
"2004/2009";;"LU";"Ind_04_07";"UM_2";6.984624451;"A";
"2019";;"LU";"Ind_05_01";"UM_2";82.9;"A";
"2020";;"LU";"Ind_05_02";"UM_2";2.2;"A";
"2018";;"LU";"Ind_06_01";"UM_8";69256.29787;"A";"P"
"2017/2018";;"LU";"Ind_06_02";"UM_2";1.01096264;"A";"P"
"2018";;"LU";"Ind_06_03";"UM_5";253.856;"A";
"2018";;"LU";"Ind_06_04";"UM_5";13.617;"A";
"2018";;"LU";"Ind_06_05";"UM_5";57.43;"A";
"2018";;"LU";"Ind_06_06";"UM_5";182.809;"A";
"2018";;"LU";"Ind_06_07";"UM_9";32255;"A";
"2018";;"LU";"Ind_06_08";"UM_9";4709;"A";
"2018";;"LU";"Ind_06_09";"UM_9";4607;"A";
"2018";;"LU";"Ind_06_10";"UM_9";22939;"A";
"2019";;"LU";"Ind_07_01";"UM_2";10.65681199;"A";
"2019";;"LU";"Ind_07_02";"UM_10";16.83233002;"A";
"2020";;"LU";"Ind_08_01";"UM_2";1.504530435;"A";
"2019";;"LU";"Ind_08_02";"UM_2";34.4;"A";
"2019";;"LU";"Ind_08_03";"UM_11";46.7;"A";
"2018";;"LU";"Ind_08_04";"UM_12";7.751423103;"A";
"2019";;"LU";"Ind_09_01";"UM_5";1282.445;"A";
"2019";;"LU";"Ind_09_02";"UM_5";2217.819;"A";
"2019";;"LU";"Ind_10_01";"UM_12";532.345925;"A";
"2019";;"LU";"Ind_10_02";"UM_2";25.62776391;"A";
"2019";;"LU";"Ind_10_03";"UM_2";56.29405841;"A";
"2019";;"LU";"Ind_11_01";"UM_2";2.39307;"A";
"2019";;"LU";"Ind_12_01";"UM_13";180;"A";
"2019";;"LU";"Ind_12_02";"UM_12";3.8;"A";
"2019";;"LU";"Ind_12_03";"UM_12";128.2;"A";
"2019";;"LU";"Ind_12_04";"UM_14";5.2;"A";
"2019";;"LU";"Ind_13_01";"UM_2";18.75641895;"A";
"2019";;"LU";"Ind_13_02";"UM_2";48.06206494;"A";
"2019";;"LU";"Ind_13_03";"UM_2";33.18118048;"A";
"2019";;"LU";"Ind_13_04";"UM_2";24.39;"A";
"2019";;"LU";"Ind_14_01";"UM_2";15.55817356;"A";
"2019";;"LU";"Ind_14_02";"UM_2";25.49011677;"A";
"2019";;"LU";"Ind_14_03";"UM_2";13.5176496;"A";
"2019";;"LU";"Ind_14_04";"UM_2";24.74600895;"A";
"2019";;"LU";"Ind_14_05";"UM_2";0.712169323;"A";
"2019";;"LU";"Ind_14_06";"UM_2";7.0978447;"A";
"2019";;"LU";"Ind_14_07";"UM_2";;"M";
"2019";;"LU";"Ind_14_08";"UM_2";;"M";
"2019";;"LU";"Ind_14_09";"UM_2";12.22822789;"A";
"2019";;"LU";"Ind_14_10";"UM_2";0.148821562;"A";
"2019";;"LU";"Ind_15_01";"UM_15";41.81102997;"A";
"2019";;"LU";"Ind_15_02";"UM_15";7.234646215;"A";
"2019";;"LU";"Ind_15_03";"UM_15";2.566187368;"A";
"2019";;"UR";"Ind_01_01";"UM_1";36.703;"A";
"2010/2019";;"UR";"Ind_01_02";"UM_2";3.61639659;"A";
"2019";;"UR";"Ind_01_03";"UM_3";34.71258063;"A";
"2019";;"UR";"Ind_01_04";"UM_2";20.044683;"A";
"2019";;"UR";"Ind_01_05";"UM_2";59.16410103;"A";
"2019";;"UR";"Ind_01_06";"UM_2";20.79121598;"A";
